Date,ActualShipmentInCases
2017-02-04,375
2017-02-11,639
2017-02-18,561
2017-02-25,735
2017-03-04,684
2017-03-11,429
2017-03-18,462
2017-03-25,600
2017-04-01,762
2017-04-08,396
2017-04-15,564
2017-04-22,474
2017-04-29,426
2017-05-06,567
2017-05-13,636
2017-05-20,390
2017-05-27,966
2017-06-03,2109
2017-06-10,69
2017-06-17,141
2017-06-24,405
2017-07-01,762
2017-07-08,282
2017-07-15,189
2017-07-22,435
2017-07-29,564
2017-08-05,288
2017-08-12,561
2017-08-19,654
2017-08-26,663
2017-09-02,1809
2017-09-09,723
2017-09-16,12
2017-09-23,291
2017-09-30,300
2017-10-07,222
2017-10-14,294
2017-10-21,540
2017-10-28,693
2017-11-04,621
2017-11-11,471
2017-11-18,345
2017-11-25,678
2017-12-02,735
2017-12-09,660
2017-12-16,555
2017-12-23,666
2017-12-30,738
2018-01-06,285
2018-01-13,450
2018-01-20,249
2018-01-27,783
2018-02-03,759
2018-02-10,696
2018-02-17,1110
2018-02-24,753
2018-03-03,498
2018-03-10,222
2018-03-17,597
2018-03-24,621
2018-03-31,768
2018-04-07,231
2018-04-14,588
2018-04-21,483
2018-04-28,783
2018-05-05,471
2018-05-12,684
2018-05-19,717
2018-05-26,483
2018-06-02,321
2018-06-09,327
2018-06-16,399
2018-06-23,315
2018-06-30,636
2018-07-07,399
2018-07-14,381
2018-07-21,573
2018-07-28,1110
2018-08-04,2088
2018-08-11,24
2018-08-18,126
2018-08-25,312
2018-09-01,471
2018-09-08,327
2018-09-15,306
2018-09-22,324
2018-09-29,336
2018-10-06,570
2018-10-13,558
2018-10-20,435
2018-10-27,345
2018-11-03,642
2018-11-10,465
2018-11-17,486
2018-11-24,366
2018-12-01,705
2018-12-08,306
2018-12-15,645
2018-12-22,558
2018-12-29,684
2019-01-05,153
2019-01-12,426
2019-01-19,642
2019-01-26,498
2019-02-02,654
2019-02-09,570
2019-02-16,750
2019-02-23,273
2019-03-02,618
2019-03-09,531
2019-03-16,543
2019-03-23,534
2019-03-30,1368
2019-04-06,2040
2019-04-13,57
2019-04-20,108
2019-04-27,252
2019-05-04,429
2019-05-11,249
2019-05-18,411
2019-05-25,384
2019-06-01,312
2019-06-08,348
2019-06-15,462
2019-06-22,348
2019-06-29,546
2019-07-06,1245
2019-07-13,1632
2019-07-20,624
2019-07-27,75
2019-08-03,234
2019-08-10,333
2019-08-17,384
2019-08-24,354
2019-08-31,363
2019-09-07,372
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
