Date,ActualShipmentInCases
2017-02-04,249
2017-02-11,243
2017-02-18,300
2017-02-25,432
2017-03-04,408
2017-03-11,291
2017-03-18,321
2017-03-25,597
2017-04-01,288
2017-04-08,258
2017-04-15,180
2017-04-22,147
2017-04-29,192
2017-05-06,153
2017-05-13,183
2017-05-20,261
2017-05-27,375
2017-06-03,492
2017-06-10,531
2017-06-17,717
2017-06-24,834
2017-07-01,378
2017-07-08,456
2017-07-15,1878
2017-07-22,381
2017-07-29,1440
2017-08-05,6000
2017-08-12,8427
2017-08-19,561
2017-08-26,819
2017-09-02,660
2017-09-09,198
2017-09-16,84
2017-09-23,318
2017-09-30,525
2017-10-07,243
2017-10-14,132
2017-10-21,138
2017-10-28,201
2017-11-04,246
2017-11-11,309
2017-11-18,417
2017-11-25,204
2017-12-02,318
2017-12-09,57
2017-12-16,222
2017-12-23,90
2017-12-30,75
2018-01-06,120
2018-01-13,102
2018-01-20,186
2018-01-27,126
2018-02-03,438
2018-02-10,246
2018-02-17,393
2018-02-24,240
2018-03-03,507
2018-03-10,1344
2018-03-17,1449
2018-03-24,996
2018-03-31,792
2018-04-07,2064
2018-04-14,1116
2018-04-21,441
2018-04-28,321
2018-05-05,387
2018-05-12,291
2018-05-19,1074
2018-05-26,672
2018-06-02,381
2018-06-09,366
2018-06-16,1125
2018-06-23,450
2018-06-30,315
2018-07-07,219
2018-07-14,1689
2018-07-21,3390
2018-07-28,1170
2018-08-04,678
2018-08-11,402
2018-08-18,498
2018-08-25,327
2018-09-01,249
2018-09-08,252
2018-09-15,351
2018-09-22,84
2018-09-29,147
2018-10-06,276
2018-10-13,114
2018-10-20,333
2018-10-27,234
2018-11-03,150
2018-11-10,171
2018-11-17,294
2018-11-24,240
2018-12-01,240
2018-12-08,231
2018-12-15,204
2018-12-22,172.5
2018-12-29,198
2019-01-05,243
2019-01-12,267
2019-01-19,342
2019-01-26,315
2019-02-02,294
2019-02-09,285
2019-02-16,288
2019-02-23,246
2019-03-02,279
2019-03-09,144
2019-03-16,345
2019-03-23,606
2019-03-30,279
2019-04-06,204
2019-04-13,852
2019-04-20,4368
2019-04-27,2328
2019-05-04,375
2019-05-11,255
2019-05-18,294
2019-05-25,177
2019-06-01,147
2019-06-08,249
2019-06-15,165
2019-06-22,492
2019-06-29,792
2019-07-06,96
2019-07-13,126
2019-07-20,417
2019-07-27,489
2019-08-03,804
2019-08-10,471
2019-08-17,390
2019-08-24,138
2019-08-31,153
2019-09-07,153
